Object,Time Step,Instance ID,Coordinates,Wireless Delay,Num Users
MonitoredBaseStation_3,33,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,33,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,34,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,34,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,34,3,"[500, 0]",5.0,18
MonitoredBaseStation_4,34,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,35,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,35,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,35,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,35,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,36,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,36,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,36,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,36,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,37,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,37,2,"[250, 0]",5.0,12
MonitoredBaseStation_3,37,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,37,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,38,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,38,2,"[250, 0]",5.0,12
MonitoredBaseStation_3,38,3,"[500, 0]",5.0,20
MonitoredBaseStation_4,38,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,39,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,39,2,"[250, 0]",5.0,13
MonitoredBaseStation_3,39,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,39,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,40,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,40,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,40,3,"[500, 0]",5.0,18
MonitoredBaseStation_4,40,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,41,1,"[0, 0]",5.0,5
MonitoredBaseStation_2,41,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,41,3,"[500, 0]",5.0,18
MonitoredBaseStation_4,41,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,42,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,42,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,42,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,42,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,43,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,43,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,43,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,43,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,44,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,44,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,44,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,44,4,"[750, 0]",5.0,12
MonitoredBaseStation_1,45,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,45,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,45,3,"[500, 0]",5.0,17
MonitoredBaseStation_4,45,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,46,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,46,2,"[250, 0]",5.0,15
MonitoredBaseStation_3,46,3,"[500, 0]",5.0,18
MonitoredBaseStation_4,46,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,47,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,47,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,47,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,47,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,48,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,48,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,48,3,"[500, 0]",5.0,18
MonitoredBaseStation_4,48,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,49,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,49,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,49,3,"[500, 0]",5.0,18
MonitoredBaseStation_4,49,4,"[750, 0]",5.0,14
MonitoredBaseStation_1,50,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,50,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,50,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,50,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,51,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,51,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,51,3,"[500, 0]",5.0,19
MonitoredBaseStation_4,51,4,"[750, 0]",5.0,13
MonitoredBaseStation_1,52,1,"[0, 0]",5.0,4
MonitoredBaseStation_2,52,2,"[250, 0]",5.0,14
MonitoredBaseStation_3,52,3,"[500, 0]",5.0,19
